o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
379175|11638|F|260310.40|1994-11-17|1-URGENT|Clerk#000000129|0|, final dependencies detect. ironic account|379175|16432|433|5|36.00|48543.48|0.01|0.00|R|F|1995-01-13|1995-01-25|1995-02-04|TAKE BACK RETURN|RAIL|requests. fluffily regular theodolites 
379204|4595|O|283653.93|1995-07-26|2-HIGH|Clerk#000000019|0|luffily regular accounts serve. patterns cajole. slyly expres|379204|1615|867|2|43.00|65214.23|0.01|0.02|N|O|1995-08-15|1995-08-26|1995-09-05|NONE|AIR|onic tithes. quickly 
379780|11482|F|221060.10|1995-01-26|1-URGENT|Clerk#000000827|0|lar accounts. furiously special frets integrate carefu|379780|14091|92|6|18.00|18091.62|0.02|0.05|A|F|1995-03-05|1995-03-13|1995-03-16|DELIVER IN PERSON|RAIL|s. furiously pending theod
379812|4546|P|222477.69|1995-03-04|4-NOT SPECIFIED|Clerk#000000725|0|ts. blithely final requests |379812|17974|509|4|10.00|18919.70|0.00|0.08|A|F|1995-04-19|1995-04-20|1995-04-25|NONE|RAIL|gainst the 
380165|5755|F|208069.33|1995-01-20|3-MEDIUM|Clerk#000000652|0|requests. final excuses haggle furiously against the warhorses. express instr|380165|14210|3|3|30.00|33726.30|0.00|0.07|A|F|1995-04-01|1995-04-02|1995-04-07|DELIVER IN PERSON|RAIL|. slyly even platelets nag alongside o
380450|8983|F|177116.31|1994-11-17|4-NOT SPECIFIED|Clerk#000000633|0|fluffily regular deposits nag furiously slyly daring attainments. slyly |380450|16045|844|3|41.00|39402.64|0.06|0.05|R|F|1995-01-04|1995-01-15|1995-02-03|NONE|AIR|lar patterns are blithely among the close p
380487|7535|F|254211.05|1994-11-06|2-HIGH|Clerk#000000262|0| bold instructions. special, even packages haggle carefully-- fu|380487|2942|943|4|27.00|49813.38|0.05|0.03|R|F|1995-01-22|1995-01-31|1995-02-02|DELIVER IN PERSON|RAIL|leep quickly. even platelets are reg
380646|9296|F|139987.33|1995-01-26|5-LOW|Clerk#000000327|0|s. blithely pending deposits boost carefully slyly regular account|380646|18745|746|4|41.00|68213.34|0.02|0.05|A|F|1995-03-10|1995-03-12|1995-03-25|DELIVER IN PERSON|AIR| ironic deposits boost slyly. furiously pen
380995|13979|F|94245.85|1994-12-20|4-NOT SPECIFIED|Clerk#000000649|0|ly against the carefully even notornis. car|380995|18789|790|1|18.00|30740.04|0.10|0.07|R|F|1995-01-14|1995-01-21|1995-02-11|COLLECT COD|AIR| the blithely unusual sheaves. acc
381381|11722|O|178588.82|1995-05-30|4-NOT SPECIFIED|Clerk#000000948|0|. attainments haggle carefully after the blithely ruthless foxes! pending|381381|3443|444|3|11.00|14810.84|0.03|0.00|N|O|1995-07-03|1995-07-12|1995-07-13|NONE|RAIL|ly above the ironic foxes. ironi
381411|6736|O|209587.66|1995-07-19|4-NOT SPECIFIED|Clerk#000000219|0|even pinto beans doze carefully along the furiously express pa|381411|14035|828|4|44.00|41757.32|0.09|0.03|N|O|1995-09-28|1995-10-09|1995-10-26|TAKE BACK RETURN|RAIL|sual theodolites.
381475|4031|O|168419.22|1995-07-07|1-URGENT|Clerk#000000254|0|avely express foxes. carefully regular packages nag fluffily according to th|381475|17542|77|1|27.00|39407.58|0.05|0.02|N|O|1995-09-13|1995-09-28|1995-10-10|TAKE BACK RETURN|AIR|tes breach carefu
381733|4816|P|143424.03|1995-04-26|5-LOW|Clerk#000000740|0|packages. carefully ironic packages wake according to the regular excu|381733|1205|959|1|43.00|47566.60|0.10|0.03|N|O|1995-07-02|1995-07-09|1995-07-10|DELIVER IN PERSON|RAIL|ily silent foxes above the silent somas
381761|12568|O|283583.45|1995-06-17|2-HIGH|Clerk#000000825|0|ins nag furiously. carefully iro|381761|7776|548|5|44.00|74085.88|0.04|0.04|N|O|1995-08-13|1995-09-02|1995-09-06|NONE|AIR|ccounts among the furiously reg
382307|1375|O|251427.97|1995-06-19|2-HIGH|Clerk#000000228|0|ic requests-- pending pinto beans across the regular r|382307|6497|10|4|15.00|21052.35|0.00|0.02|N|O|1995-08-22|1995-08-26|1995-09-02|COLLECT COD|AIR|lites. carefully regular gifts slee
382403|9185|F|204991.63|1995-03-19|5-LOW|Clerk#000000514|0|carefully ironic theodolites. even, regular requests are final plat|382403|9195|455|1|34.00|37542.46|0.10|0.00|R|F|1995-04-29|1995-05-11|1995-05-12|TAKE BACK RETURN|RAIL| quickly regular foxe
382628|9928|O|242201.17|1995-07-23|5-LOW|Clerk#000000473|0|uriously about the instructions. q|382628|6255|24|1|45.00|52256.25|0.08|0.08|N|O|1995-10-05|1995-10-18|1995-10-23|NONE|RAIL| slyly regular requests
383459|8602|O|300872.81|1995-11-21|4-NOT SPECIFIED|Clerk#000000230|0|nusual requests. pending pinto beans use after the carefully express package|383459|16533|332|5|33.00|47834.49|0.03|0.07|N|O|1995-12-22|1996-01-08|1996-01-17|COLLECT COD|RAIL|tructions. accounts about the regular pint
383492|7|O|118686.21|1995-09-29|3-MEDIUM|Clerk#000000944|0|requests at the pending courts sleep furiously acco|383492|5154|665|3|10.00|10591.50|0.10|0.07|N|O|1995-12-13|1995-12-16|1995-12-18|TAKE BACK RETURN|AIR|epths hang carefully carefully ruthless
383680|8308|P|285634.58|1995-05-20|1-URGENT|Clerk#000000569|0|g slyly final theodolites. packages sleep|383680|2665|422|3|36.00|56435.76|0.01|0.07|N|F|1995-05-30|1995-06-21|1995-06-24|COLLECT COD|AIR|ts. final package
383750|12925|O|11030.26|1995-10-11|5-LOW|Clerk#000000003|0|o the furiously pending ideas sleep|383750|7837|95|2|5.00|8724.15|0.03|0.07|N|O|1995-11-04|1995-11-19|1995-11-22|TAKE BACK RETURN|RAIL|structions. ideas det
384005|1856|F|182778.31|1994-12-28|1-URGENT|Clerk#000000515|0|unts was according to th|384005|18881|686|1|17.00|30597.96|0.07|0.05|A|F|1995-01-27|1995-01-28|1995-02-18|TAKE BACK RETURN|RAIL|. unusual ideas after the f
384033|952|O|134876.06|1995-05-05|4-NOT SPECIFIED|Clerk#000000478|0|fy accounts. furiously bold frays |384033|1571|572|1|32.00|47122.24|0.05|0.06|N|O|1995-06-23|1995-07-03|1995-07-23|DELIVER IN PERSON|AIR|ke carefully across the iron
384039|10618|F|157467.81|1995-02-09|1-URGENT|Clerk#000000928|0|out the slyly pending theodolites. carefully express do|384039|14538|67|4|7.00|10167.71|0.02|0.06|R|F|1995-03-15|1995-04-02|1995-04-10|DELIVER IN PERSON|RAIL|e along the b
384324|12071|P|192109.21|1995-06-10|3-MEDIUM|Clerk#000000148|0|tructions cajole busi|384324|8218|477|4|33.00|37164.93|0.09|0.06|N|O|1995-07-18|1995-07-21|1995-08-02|COLLECT COD|AIR|ial accounts. furi
384676|8230|P|311993.69|1995-06-10|3-MEDIUM|Clerk#000000811|0|n foxes. unusual, ev|384676|3543|544|3|36.00|52075.44|0.05|0.08|N|O|1995-08-16|1995-09-04|1995-09-13|NONE|AIR|pecial accounts. furiously iron
384961|7939|O|223552.18|1995-07-06|1-URGENT|Clerk#000000107|0|es. bold frays kindle qui|384961|19272|811|3|31.00|36929.37|0.07|0.03|N|O|1995-07-18|1995-08-07|1995-08-17|NONE|AIR|ajole blithely. fi
385286|1912|O|274793.93|1995-06-27|4-NOT SPECIFIED|Clerk#000000076|0|eposits are. slyly iron|385286|10797|578|5|48.00|81973.92|0.08|0.00|N|O|1995-07-26|1995-08-11|1995-08-15|TAKE BACK RETURN|AIR|refully ironic
385575|11564|O|92861.77|1995-09-24|4-NOT SPECIFIED|Clerk#000000655|0|ongside of the pinto beans. unusual ideas are quickly. special, pending depo|385575|8698|215|3|30.00|48200.70|0.05|0.06|N|O|1995-12-11|1995-12-13|1995-12-19|TAKE BACK RETURN|AIR|nic theodolit
385861|14843|F|202151.94|1994-11-15|4-NOT SPECIFIED|Clerk#000000735|0|leep slyly around the blithely regular requests. ironic accounts are|385861|15886|682|1|6.00|10811.28|0.03|0.07|R|F|1994-12-17|1995-01-05|1995-01-10|COLLECT COD|RAIL|final waters. quickly
385861|14843|F|202151.94|1994-11-15|4-NOT SPECIFIED|Clerk#000000735|0|leep slyly around the blithely regular requests. ironic accounts are|385861|1048|300|4|17.00|16133.68|0.09|0.03|R|F|1994-12-24|1994-12-27|1995-01-10|DELIVER IN PERSON|AIR|egular pinto beans. blithely regular
385861|14843|F|202151.94|1994-11-15|4-NOT SPECIFIED|Clerk#000000735|0|leep slyly around the blithely regular requests. ironic accounts are|385861|9319|838|6|17.00|20881.27|0.07|0.01|A|F|1994-12-29|1994-12-31|1995-01-16|COLLECT COD|RAIL|the unusual asymptotes? furiously ironic fo
386083|11006|P|205617.57|1995-04-02|3-MEDIUM|Clerk#000000565|0|e regular deposits. carefully un|386083|18741|546|1|40.00|66389.60|0.00|0.05|N|F|1995-06-07|1995-06-08|1995-07-01|TAKE BACK RETURN|RAIL|scapades sleep 
386179|10984|O|190593.36|1995-08-29|2-HIGH|Clerk#000000948|0|into beans kindle blithe|386179|10370|151|1|22.00|28168.14|0.10|0.03|N|O|1995-10-12|1995-10-15|1995-11-06|NONE|RAIL|ly ironic asymptotes maintain blithe
386307|2830|F|215790.52|1995-02-21|3-MEDIUM|Clerk#000000605|0|ccounts are idly against the furiously final|386307|9169|170|3|20.00|21563.20|0.09|0.00|A|F|1995-03-17|1995-04-11|1995-04-14|NONE|AIR|s. blithely unusual requests us
386371|4732|O|1859.90|1995-08-20|5-LOW|Clerk#000000626|0|s are. carefully bold dependencies haggle. blithely pending instructions|386371|2906|663|1|1.00|1808.90|0.03|0.06|N|O|1995-09-18|1995-09-22|1995-10-10|NONE|AIR|lly according
386885|5942|F|184665.73|1995-01-27|3-MEDIUM|Clerk#000000118|0| quickly theodolites. thin, e|386885|4263|518|4|43.00|50192.18|0.04|0.01|R|F|1995-03-27|1995-03-30|1995-04-12|DELIVER IN PERSON|RAIL| final asymptotes. fu
386977|9235|F|89105.33|1994-11-20|3-MEDIUM|Clerk#000000073|0|es haggle blithely. carefully even pinto beans sleep |386977|19956|957|1|26.00|48774.70|0.04|0.08|R|F|1995-01-02|1995-01-10|1995-02-01|DELIVER IN PERSON|AIR|ts eat furiously during the even,
387399|14872|O|157698.75|1995-08-27|3-MEDIUM|Clerk#000000289|0| unusual attainments: unusual accounts after the quickly final package|387399|15373|169|2|31.00|39939.47|0.06|0.07|N|O|1995-10-07|1995-10-16|1995-10-21|NONE|RAIL|lites about the slyly f
387714|11584|P|237218.25|1995-04-23|4-NOT SPECIFIED|Clerk#000000400|0|ckly ironic warhorses. carefully ironic r|387714|2536|537|2|10.00|14385.30|0.08|0.08|N|F|1995-05-26|1995-05-29|1995-06-22|TAKE BACK RETURN|RAIL|ly ruthless packages sleep furiou
387940|8669|P|238307.59|1995-04-25|5-LOW|Clerk#000000589|0|refully after the quickly regular asymptotes. busily regular request|387940|2703|460|1|1.00|1605.70|0.07|0.04|N|F|1995-06-17|1995-06-18|1995-06-22|COLLECT COD|AIR|sits wake about the care
388418|8959|F|164608.83|1995-02-03|3-MEDIUM|Clerk#000000861|0|cies. furiously unusual for|388418|5915|426|5|14.00|25492.74|0.09|0.03|A|F|1995-03-21|1995-04-14|1995-04-19|COLLECT COD|RAIL|en foxes mold careful
388576|7981|P|103897.05|1995-04-13|2-HIGH|Clerk#000000504|0|ironic ideas sleep blithely ironic deposit|388576|12455|980|2|19.00|25981.55|0.05|0.03|N|O|1995-07-06|1995-07-10|1995-08-04|COLLECT COD|RAIL|y regular accoun
388706|7249|P|213979.72|1995-04-13|1-URGENT|Clerk#000000393|0|s cajole against the bold, pending deposits. pending deposits hag|388706|11702|964|3|20.00|32274.00|0.01|0.04|A|F|1995-05-27|1995-06-06|1995-06-16|NONE|AIR|ithely ruthless wart
388741|3389|O|204603.11|1995-09-10|1-URGENT|Clerk#000000203|0|osits about the ironic, unusual platelets nag across the slyly even asympt|388741|1470|224|4|33.00|45258.51|0.08|0.04|N|O|1995-10-26|1995-11-09|1995-11-17|COLLECT COD|AIR|ld affix about the ironic instructions.
389189|6802|F|189912.69|1994-12-03|3-MEDIUM|Clerk#000000469|0|rts boost final, regular foxes. furious|389189|9905|424|3|18.00|32668.20|0.10|0.00|R|F|1995-02-15|1995-02-26|1995-03-16|DELIVER IN PERSON|AIR|s sleep blithely about the
389728|12895|F|100374.77|1994-12-25|4-NOT SPECIFIED|Clerk#000000623|0|ess pinto beans. pinto beans nag blithely-- carefully even deposi|389728|1259|260|1|40.00|46410.00|0.04|0.08|R|F|1995-02-08|1995-02-16|1995-03-09|TAKE BACK RETURN|AIR|ironic deposi
389955|6436|O|115957.25|1995-06-19|2-HIGH|Clerk#000000956|0|ing platelets boost carefully express requests. blithely even dolphins use. |389955|7720|492|3|37.00|60225.64|0.03|0.04|N|O|1995-08-10|1995-08-14|1995-08-18|TAKE BACK RETURN|RAIL|sits. ironic, pending pinto bean
390022|4390|O|26873.93|1995-05-29|5-LOW|Clerk#000000400|0|ly according to the caref|390022|19010|549|1|29.00|26941.29|0.05|0.05|N|O|1995-07-04|1995-07-19|1995-07-20|NONE|AIR|. busy the
390561|1340|F|162874.64|1995-02-16|4-NOT SPECIFIED|Clerk#000000801|0|egular, regular theodolites wake blithely along the carefully sp|390561|2223|224|1|11.00|12377.42|0.00|0.00|R|F|1995-04-15|1995-04-17|1995-05-01|DELIVER IN PERSON|RAIL|ounts. unusual pinto bea
390724|1906|F|68001.26|1995-02-27|2-HIGH|Clerk#000000996|0| the furiously express requests. ideas dazzle carefully about the dependen|390724|11658|920|2|16.00|25114.40|0.02|0.08|R|F|1995-04-03|1995-04-19|1995-04-29|DELIVER IN PERSON|AIR|along the sly
390788|6503|O|177383.77|1995-08-14|1-URGENT|Clerk#000000249|0|s. busy instructions play fluffily around the quickly f|390788|3455|215|1|17.00|23093.65|0.04|0.02|N|O|1995-10-31|1995-11-02|1995-11-25|TAKE BACK RETURN|AIR|quickly even instructions 
390853|1252|O|57613.37|1995-08-28|2-HIGH|Clerk#000000252|0|he enticingly unusual sauternes boost quickly about the asymptotes. pinto |390853|17302|104|1|46.00|56087.80|0.04|0.07|N|O|1995-09-27|1995-10-17|1995-10-20|DELIVER IN PERSON|AIR|y idle accounts ca
391014|9890|P|168433.82|1995-05-03|3-MEDIUM|Clerk#000000214|0|y. carefully even packages kindle requests. furiously ironic accounts|391014|2992|245|1|48.00|90959.52|0.07|0.01|N|F|1995-06-01|1995-06-18|1995-06-23|NONE|RAIL|regular requests can wa
391168|14476|F|199243.34|1995-01-19|1-URGENT|Clerk#000000247|0| quickly final dolphins promise carefully regular deposits. slyly regu|391168|16846|379|1|22.00|38782.48|0.01|0.01|A|F|1995-04-08|1995-04-18|1995-05-02|NONE|AIR|ometimes final instructions wake f
391392|139|O|159060.26|1995-06-27|2-HIGH|Clerk#000000713|0|ly ironic packages p|391392|15186|982|1|40.00|44047.20|0.05|0.04|N|O|1995-07-31|1995-08-09|1995-08-17|NONE|AIR|ironic foxes
391495|1501|P|132193.60|1995-03-10|3-MEDIUM|Clerk#000000130|0|slyly furiously even accounts. slyly even patterns acco|391495|18370|907|2|36.00|46381.32|0.08|0.02|A|F|1995-04-28|1995-05-23|1995-05-25|DELIVER IN PERSON|RAIL|ng accounts are blithely unus
391523|7867|O|253179.58|1995-06-26|2-HIGH|Clerk#000000491|0|ly express instructions wake final, quick p|391523|15454|985|5|7.00|9586.15|0.01|0.03|N|O|1995-08-05|1995-08-26|1995-08-30|NONE|AIR|lar pinto beans. careful
391847|8590|O|188578.40|1995-06-07|4-NOT SPECIFIED|Clerk#000000523|0|elets engage blithely according to th|391847|17173|441|1|36.00|39246.12|0.01|0.00|N|O|1995-07-11|1995-07-19|1995-08-03|COLLECT COD|AIR| furiously requests. carefully unusual ide
392005|8393|F|271054.68|1994-12-04|1-URGENT|Clerk#000000453|0|thely bold braids haggle furiously regular foxes. slyly|392005|2814|571|3|41.00|70389.21|0.09|0.01|R|F|1995-01-30|1995-02-01|1995-02-09|DELIVER IN PERSON|AIR| even pinto beans sleep. pending, re
392290|7868|F|73096.06|1994-12-23|5-LOW|Clerk#000000575|0|ains. silent, regular packages across the blith|392290|14759|552|1|22.00|36822.50|0.05|0.08|A|F|1995-02-09|1995-02-13|1995-03-05|TAKE BACK RETURN|AIR|run slyly abov
392738|4589|P|167879.45|1995-03-21|1-URGENT|Clerk#000000824|0|ly. dogged foxes wake furiously quick|392738|17360|895|1|20.00|25547.20|0.08|0.00|A|F|1995-05-25|1995-05-28|1995-06-09|DELIVER IN PERSON|RAIL|final Tiresias.
392738|4589|P|167879.45|1995-03-21|1-URGENT|Clerk#000000824|0|ly. dogged foxes wake furiously quick|392738|234|485|4|6.00|6805.38|0.00|0.01|N|F|1995-06-06|1995-06-16|1995-06-21|DELIVER IN PERSON|RAIL|ke foxes. blithely express
393668|12592|O|67900.00|1995-09-09|5-LOW|Clerk#000000944|0|e furiously final sauternes nod slyl|393668|144|645|1|29.00|30280.06|0.00|0.06|N|O|1995-10-11|1995-10-31|1995-11-09|NONE|RAIL|ackages. even, even courts caj
393926|146|O|95812.67|1995-06-15|2-HIGH|Clerk#000000353|0|eans wake. carefully express request|393926|13226|490|2|46.00|52404.12|0.01|0.08|N|O|1995-07-13|1995-07-20|1995-07-31|NONE|AIR|owly stealthy instruct
393987|4672|O|102832.31|1995-08-23|4-NOT SPECIFIED|Clerk#000000576|0|regular requests. regular, final dependenc|393987|8486|261|3|48.00|66935.04|0.03|0.08|N|O|1995-09-22|1995-10-07|1995-10-08|DELIVER IN PERSON|RAIL| against the 
394017|13175|P|219023.72|1995-05-19|1-URGENT|Clerk#000000248|0|at the furiously even accounts are furiously slyly regular accounts. fluffil|394017|11950|734|3|9.00|16757.55|0.01|0.01|N|O|1995-08-01|1995-08-09|1995-08-19|DELIVER IN PERSON|RAIL|nstructions. slyly final package
394246|1136|F|111380.03|1995-02-12|3-MEDIUM|Clerk#000000699|0|side of the bold theodolites: slyly regular inst|394246|7842|357|2|36.00|62994.24|0.07|0.01|A|F|1995-03-15|1995-03-26|1995-04-09|DELIVER IN PERSON|AIR|e furiously final theodolites. unusual, bu
394467|406|O|69036.87|1995-10-18|3-MEDIUM|Clerk#000000646|0| accounts snooze slyly. blithely unusual asymptotes use furiousl|394467|19419|689|1|38.00|50859.58|0.02|0.07|N|O|1995-12-03|1995-12-05|1995-12-31|COLLECT COD|RAIL| pinto beans along
394533|13576|O|357558.70|1995-08-18|4-NOT SPECIFIED|Clerk#000000790|0|al ideas against the even dolphins nod quickly carefully unusual requests. fin|394533|11934|196|1|33.00|60915.69|0.07|0.05|N|O|1995-11-02|1995-11-06|1995-11-13|NONE|RAIL|l deposits. fu
394533|13576|O|357558.70|1995-08-18|4-NOT SPECIFIED|Clerk#000000790|0|al ideas against the even dolphins nod quickly carefully unusual requests. fin|394533|11955|217|4|27.00|50407.65|0.03|0.05|N|O|1995-10-12|1995-10-14|1995-10-30|NONE|RAIL|the blithely bold acc
394853|8755|F|31844.47|1994-12-25|2-HIGH|Clerk#000000837|0|ions mold quickly ironic theodolites. ironic, ironic package|394853|937|188|1|4.00|7351.72|0.04|0.04|R|F|1995-02-02|1995-02-15|1995-02-20|TAKE BACK RETURN|AIR|tions haggle carefully. 
395043|6937|P|128632.68|1995-03-18|1-URGENT|Clerk#000000543|0|ending, even foxes. slyly regular dep|395043|11060|844|1|1.00|971.06|0.07|0.08|N|F|1995-05-30|1995-06-01|1995-06-24|COLLECT COD|RAIL| affix along the eve
395043|6937|P|128632.68|1995-03-18|1-URGENT|Clerk#000000543|0|ending, even foxes. slyly regular dep|395043|13451|978|5|5.00|6822.25|0.07|0.08|N|F|1995-06-10|1995-06-12|1995-07-05|TAKE BACK RETURN|RAIL|daringly iro
395105|5029|P|259402.11|1995-05-13|4-NOT SPECIFIED|Clerk#000000966|0|s wake after the furiously final dependencies. carefully close accou|395105|6973|486|5|43.00|80838.71|0.07|0.01|N|O|1995-07-23|1995-07-28|1995-07-31|DELIVER IN PERSON|AIR|nic excuses cajole. quickly
395426|10123|O|214524.02|1995-10-16|5-LOW|Clerk#000000049|0|blithely regular foxes haggle carefull|395426|15636|167|1|22.00|34135.86|0.10|0.00|N|O|1995-12-09|1995-12-19|1996-01-07|TAKE BACK RETURN|AIR|regular pinto beans haggle
395428|12779|O|155116.34|1995-06-11|2-HIGH|Clerk#000000019|0|accounts wake blithely |395428|6131|900|4|13.00|13482.69|0.00|0.00|N|O|1995-07-18|1995-07-26|1995-08-02|NONE|AIR| silent deposits sleep
395459|1883|P|205069.36|1995-05-03|4-NOT SPECIFIED|Clerk#000000416|0|hely instructions. furious|395459|14811|340|4|33.00|56951.73|0.09|0.00|R|F|1995-05-16|1995-06-02|1995-06-09|NONE|RAIL|heodolites. quickl
395552|2834|F|220714.60|1994-11-19|2-HIGH|Clerk#000000053|0|int blithely furiously pending realms. pending pinto beans|395552|5251|17|5|42.00|48562.50|0.02|0.00|R|F|1995-01-08|1995-01-24|1995-01-28|COLLECT COD|AIR|inal, ironic foxes 
395943|11113|O|220483.51|1995-10-31|3-MEDIUM|Clerk#000000077|0|nd the busily regular requests are around the carefully pending pinto|395943|1306|60|4|40.00|48292.00|0.09|0.07|N|O|1995-12-08|1995-12-09|1995-12-19|DELIVER IN PERSON|AIR|sauternes along the b
395968|1535|P|103653.61|1995-04-29|3-MEDIUM|Clerk#000000873|0|y bold dolphins will have to|395968|6013|526|6|36.00|33084.36|0.02|0.00|N|O|1995-06-26|1995-07-17|1995-07-26|TAKE BACK RETURN|RAIL|g furiously even theodo
395975|10442|F|385804.47|1995-01-28|2-HIGH|Clerk#000000758|0|iously about the packages. special |395975|8981|982|1|47.00|88829.06|0.04|0.06|A|F|1995-03-06|1995-03-13|1995-03-27|NONE|AIR| ironic sentiments. slyly express
396128|7010|F|308723.07|1994-11-30|3-MEDIUM|Clerk#000000499|0|refully special asymptotes haggle slyly furiously ev|396128|9957|217|5|18.00|33605.10|0.05|0.02|A|F|1995-02-07|1995-02-27|1995-03-09|COLLECT COD|RAIL|al instruc
396130|13660|O|211760.29|1995-07-09|3-MEDIUM|Clerk#000000806|0|s sleep bravely furiously regular accounts. b|396130|5182|948|3|24.00|26092.32|0.07|0.05|N|O|1995-09-22|1995-09-26|1995-10-06|COLLECT COD|RAIL|ctions-- regular courts along th
396263|6623|F|179450.41|1995-02-13|3-MEDIUM|Clerk#000000227|0| final courts sleep blithely at the thinly close in|396263|13022|812|6|7.00|6545.14|0.04|0.08|R|F|1995-04-11|1995-05-07|1995-05-08|NONE|RAIL|y along the quickly unusual deposits. ca
396449|4820|P|135937.72|1995-03-06|5-LOW|Clerk#000000277|0|ar ideas are to the final deposits|396449|6650|651|5|46.00|71605.90|0.04|0.08|A|F|1995-04-18|1995-05-05|1995-05-14|NONE|AIR|lithely. b
396482|12679|O|56663.74|1995-11-08|1-URGENT|Clerk#000000107|0|accounts. silent, ex|396482|5976|977|1|13.00|24465.61|0.09|0.07|N|O|1995-11-30|1995-12-29|1995-12-30|COLLECT COD|RAIL|ly regular ideas. sl
396485|10738|P|196037.65|1995-03-30|4-NOT SPECIFIED|Clerk#000000635|0|ly silent requests.|396485|1265|517|1|7.00|8163.82|0.04|0.02|N|F|1995-06-07|1995-06-08|1995-06-20|NONE|AIR|er the fluffily express sheaves. fluffily s
396642|12026|O|181325.50|1995-10-09|5-LOW|Clerk#000000631|0|eans hang blithely regular, regular dependencies. carefully unusual account|396642|14786|787|2|25.00|42519.50|0.09|0.07|N|O|1995-12-13|1995-12-19|1996-01-05|NONE|RAIL|quests wake quickly along the ir
396674|2774|P|185635.21|1995-03-28|5-LOW|Clerk#000000364|0|nto beans lose blithely pending dug|396674|3365|366|5|18.00|22830.48|0.02|0.01|N|F|1995-06-03|1995-06-19|1995-07-01|DELIVER IN PERSON|RAIL|ctions. regular 
396835|6457|O|272603.06|1995-08-26|3-MEDIUM|Clerk#000000494|0|ly silent pinto beans haggle fluffil|396835|11244|28|1|33.00|38122.92|0.06|0.04|N|O|1995-11-08|1995-11-15|1995-11-22|DELIVER IN PERSON|AIR|ies wake slyly across the carefull
396992|14654|O|99630.63|1995-09-01|5-LOW|Clerk#000000394|0|ronic packages nag special, final pinto bean|396992|16698|965|1|17.00|27449.73|0.07|0.01|N|O|1995-11-01|1995-11-13|1995-11-16|DELIVER IN PERSON|AIR|instructions. packa
397056|10465|F|256190.22|1994-12-14|2-HIGH|Clerk#000000147|0|hely among the furiously regular requests. quickly final deposit|397056|14985|250|3|47.00|89299.06|0.04|0.01|R|F|1995-02-04|1995-02-14|1995-02-18|TAKE BACK RETURN|AIR|posits are quickly regular theodoli
397284|12967|F|271921.67|1994-11-07|5-LOW|Clerk#000000042|0|slyly regular accounts haggle bravely regular forges. ironic, re|397284|18726|263|3|28.00|46052.16|0.08|0.02|A|F|1994-12-11|1995-01-06|1995-01-10|NONE|AIR|lar accounts. carefully regular 
397575|13367|F|116422.39|1994-11-04|3-MEDIUM|Clerk#000000226|0|ages. theodolites eat slyl|397575|14552|817|3|48.00|70394.40|0.05|0.03|A|F|1995-01-07|1995-01-26|1995-01-30|NONE|AIR|cies. packages nag qui
397797|4271|O|90742.29|1995-05-19|3-MEDIUM|Clerk#000000788|0| unusual platelets. quickly ironic foxes cajole slyly ironic, per|397797|15548|814|1|15.00|21953.10|0.08|0.02|N|O|1995-08-11|1995-08-14|1995-08-22|TAKE BACK RETURN|AIR|y express accounts cajole fluffily acro
398149|1648|F|166140.39|1994-11-25|1-URGENT|Clerk#000000619|0|eodolites. final deposits sleep carefully even|398149|7966|481|4|33.00|61840.68|0.01|0.00|R|F|1995-01-27|1995-01-29|1995-02-07|COLLECT COD|AIR|g dugouts. quickly
398304|5734|O|187563.87|1995-07-08|3-MEDIUM|Clerk#000000225|0|to beans among the blithely ironic deposits use around the p|398304|7300|558|5|36.00|43462.80|0.03|0.01|N|O|1995-08-03|1995-08-13|1995-08-18|DELIVER IN PERSON|AIR|ular dugouts h
398401|12026|F|149725.36|1994-12-19|5-LOW|Clerk#000000888|0|against the blithely ironic requests cajole carefully |398401|8662|663|6|17.00|26701.22|0.05|0.02|A|F|1995-01-22|1995-02-03|1995-02-05|TAKE BACK RETURN|RAIL|le along the furiously final requests.
398404|1243|O|215863.17|1995-10-08|2-HIGH|Clerk#000000752|0|press deposits nag furiously carefully even deposits! slyly reg|398404|6060|829|5|28.00|27049.68|0.10|0.02|N|O|1995-11-11|1995-11-22|1995-11-29|TAKE BACK RETURN|RAIL|sts above th
398471|14698|O|206499.33|1995-11-27|2-HIGH|Clerk#000000857|0|ke quickly carefully even warthogs. accounts thra|398471|7085|600|4|26.00|25794.08|0.03|0.07|N|O|1995-12-30|1995-12-31|1996-01-11|NONE|RAIL|ual dependencies. final 
398725|778|P|253921.85|1995-03-20|4-NOT SPECIFIED|Clerk#000000663|0|tions run. final tithes n|398725|10788|49|4|22.00|37373.16|0.06|0.02|R|F|1995-05-15|1995-06-03|1995-06-10|TAKE BACK RETURN|RAIL| haggle fluffily iro
398851|13172|F|226055.66|1995-01-28|3-MEDIUM|Clerk#000000596|0|he pending, unusual accounts. blithely final deposits |398851|1034|788|4|21.00|19635.63|0.06|0.05|A|F|1995-02-24|1995-02-28|1995-03-23|COLLECT COD|AIR|ages detect quickly silent deposit
